City,Rank,Status,Total Advertisers,Checked At UTC
"Acton, MA",#2,RANKED,20,2026-09-21 04:51:15 UTC
"Andover, MA",#2,RANKED,20,2026-09-21 04:51:17 UTC
"Arlington, MA",#2,RANKED,20,2026-09-21 04:51:19 UTC
"Bedford, MA",#2,RANKED,20,2026-09-21 04:51:21 UTC
"Belmont, MA",#5,RANKED,20,2026-09-21 04:51:23 UTC
"Billerica, MA",#2,RANKED,20,2026-09-21 04:51:25 UTC
"Boston, MA",#2,RANKED,20,2026-09-21 04:51:27 UTC
"Braintree, MA",#2,RANKED,20,2026-09-21 04:51:30 UTC
"Brookline, MA",#2,RANKED,20,2026-09-21 04:51:32 UTC
"Burlington, MA",#2,RANKED,20,2026-09-21 04:51:34 UTC
"Cambridge, MA",#3,RANKED,20,2026-09-21 04:51:35 UTC
"Canton, MA",#2,RANKED,20,2026-09-21 04:51:37 UTC
"Chelmsford, MA",#2,RANKED,20,2026-09-21 04:51:39 UTC
"Chelsea, MA",#3,RANKED,20,2026-09-21 04:51:41 UTC
"Concord, MA",#2,RANKED,20,2026-09-21 04:51:43 UTC
"Dedham, MA",#2,RANKED,20,2026-09-21 04:51:50 UTC
"Dracut, MA",#1,RANKED,20,2026-09-21 04:51:53 UTC
"Everett, MA",#2,RANKED,20,2026-09-21 04:51:55 UTC
"Framingham, MA",#2,RANKED,20,2026-09-21 04:51:57 UTC
"Haverhill, MA",#1,RANKED,20,2026-09-21 04:51:58 UTC
"Lawrence, MA",#2,RANKED,20,2026-09-21 04:52:01 UTC
"Lexington, MA",#2,RANKED,20,2026-09-21 04:52:03 UTC
"Littleton, MA",#2,RANKED,20,2026-09-21 04:52:05 UTC
"Lowell, MA",#1,RANKED,20,2026-09-21 04:52:12 UTC
"Malden, MA",#2,RANKED,20,2026-09-21 04:52:14 UTC
"Marlborough, MA",#2,RANKED,20,2026-09-21 04:52:20 UTC
"Medford, MA",#2,RANKED,20,2026-09-21 04:52:22 UTC
"Melrose, MA",#2,RANKED,20,2026-09-21 04:52:24 UTC
"Methuen, MA",#1,RANKED,20,2026-09-21 04:52:26 UTC
"Milton, MA",#2,RANKED,20,2026-09-21 04:52:29 UTC
"Natick, MA",#2,RANKED,20,2026-09-21 04:52:31 UTC
"Needham, MA",#2,RANKED,20,2026-09-21 04:52:33 UTC
"Newton, MA",#2,RANKED,20,2026-09-21 04:52:35 UTC
"North Andover, MA",#2,RANKED,20,2026-09-21 04:52:37 UTC
"Norwood, MA",#2,RANKED,20,2026-09-21 04:52:39 UTC
"Quincy, MA",#2,RANKED,20,2026-09-21 04:52:40 UTC
"Reading, MA",#2,RANKED,20,2026-09-21 04:52:42 UTC
"Revere, MA",#2,RANKED,20,2026-09-21 04:52:44 UTC
"Somerville, MA",#2,RANKED,20,2026-09-21 04:52:46 UTC
"Stoneham, MA",#2,RANKED,20,2026-09-21 04:52:49 UTC
"Sudbury, MA",#2,RANKED,20,2026-09-21 04:52:51 UTC
"Tewksbury, MA",#2,RANKED,20,2026-09-21 04:52:53 UTC
"Wakefield, MA",#1,RANKED,20,2026-09-21 04:52:57 UTC
"Waltham, MA",#2,RANKED,20,2026-09-21 04:52:59 UTC
"Watertown, MA",#2,RANKED,20,2026-09-21 04:53:01 UTC
"Wayland, MA",#2,RANKED,20,2026-09-21 04:53:03 UTC
"Wellesley, MA",#2,RANKED,20,2026-09-21 04:53:11 UTC
"Westford, MA",#2,RANKED,20,2026-09-21 04:53:12 UTC
"Weston, MA",#2,RANKED,20,2026-09-21 04:53:15 UTC
"Westwood, MA",#2,RANKED,20,2026-09-21 04:53:16 UTC
"Wilmington, MA",#2,RANKED,20,2026-09-21 04:53:19 UTC
"Winchester, MA",#2,RANKED,20,2026-09-21 04:53:21 UTC
"Winthrop, MA",#2,RANKED,20,2026-09-21 04:53:23 UTC
"Woburn, MA",#2,RANKED,20,2026-09-21 04:53:30 UTC
